kind,level,clip_stem,frames,psnr,ssim,lpips,psnr_in,tof,tof_in,brisque,niqe
gaussian,medium,planes-crossing,31,34.1902,0.92867,0.1128,20.2963,13.21258,29.6022,25.4556,4.843
gaussian,medium,rollercoaster,70,31.3026,0.92177,0.07544,20.4733,52.18765,67.01963,3.0392,3.4477
gaussian,medium,salsa,80,27.6919,0.82189,0.11966,20.7399,23.28717,35.32282,-0.789,2.9333
gaussian,medium,seasnake,80,28.679,0.80803,0.10254,20.9583,17.50835,29.37102,21.7451,3.2596
gaussian,medium,skate-jump,68,30.7273,0.86735,0.14687,20.395,4.01527,19.41391,16.4903,3.0826
gaussian,medium,slackline,60,32.7945,0.83469,0.26593,20.8439,8.00779,19.87205,26.5177,3.7625
gaussian,medium,subway,80,32.75,0.88699,0.13067,21.3078,7.55522,18.32294,22.3003,4.0544
gaussian,medium,tandem,72,31.1276,0.86063,0.16821,20.5003,23.3634,36.49457,17.6022,3.2651
gaussian,medium,tennis-vest,75,32.4115,0.87912,0.16326,20.3074,13.58804,27.22969,29.2674,3.8872
gaussian,medium,tractor,65,31.282,0.86464,0.18706,20.4956,16.48698,29.39821,14.9143,3.0408
gaussian,high,aerobatics,71,28.8444,0.79285,0.32185,15.0819,11.13097,57.39904,19.3952,4.299
gaussian,high,car-race,31,28.6418,0.72399,0.28094,15.8972,31.97527,64.66132,19.9945,3.9747
gaussian,high,carousel,69,25.0153,0.64464,0.36249,14.9059,28.46932,74.8902,15.2858,2.833
gaussian,high,cats-car,67,26.6472,0.75123,0.23414,15.4756,37.37242,73.50325,10.1946,3.6347
gaussian,high,chamaleon,80,26.59,0.79468,0.2161,14.7812,22.32371,72.03415,18.1315,3.354
gaussian,high,deer,79,30.2797,0.7833,0.37567,14.8072,4.82722,55.63134,21.9449,5.0307
gaussian,high,giant-slalom,80,30.468,0.81521,0.39695,14.3568,1.93504,59.11705,29.0148,4.4836
gaussian,high,girl-dog,80,26.9474,0.67178,0.38633,14.9975,23.04761,67.82189,20.425,3.4565
gaussian,high,golf,79,26.1318,0.65231,0.3675,15.0516,18.31962,62.53859,15.3784,3.0706
gaussian,high,guitar-violin,55,29.5559,0.79934,0.31168,15.4147,16.48254,56.64267,19.8401,5.1552
gaussian,high,gym,60,28.9894,0.79945,0.3165,15.0972,16.61903,62.48399,21.3649,4.0116
gaussian,high,helicopter,49,29.4214,0.78581,0.33908,15.026,6.0531,54.06723,24.47,4.2152
gaussian,high,horsejump-stick,58,26.5431,0.70246,0.30678,14.981,32.911,77.17855,27.9485,3.3313
gaussian,high,hoverboard,80,30.5817,0.81903,0.3123,14.5588,10.82201,65.4662,29.0019,5.2034
gaussian,high,lock,43,29.8431,0.76568,0.37018,15.7873,9.59312,46.38735,17.2852,6.4162
gaussian,high,man-bike,75,28.6433,0.8733,0.28844,15.8177,5.01253,42.33277,22.614,5.0757
gaussian,high,monkeys-trees,80,23.4551,0.66645,0.39241,14.4794,11.15348,65.46379,18.1032,4.0331
gaussian,high,mtb-race,69,24.7776,0.7516,0.21017,15.321,38.64244,79.08007,8.1081,2.9849
gaussian,high,orchid,57,28.4285,0.81277,0.27986,15.0067,14.12061,64.32739,20.2929,4.0672
gaussian,high,people-sunset,67,29.9632,0.78706,0.35745,15.5172,5.94247,48.65906,12.8694,5.4219
gaussian,high,planes-crossing,31,29.9125,0.8432,0.30664,14.6947,12.81065,73.16198,22.1981,4.2415
gaussian,high,rollercoaster,70,26.9986,0.84008,0.19806,14.9489,46.13064,99.33708,8.3399,3.1569
gaussian,high,salsa,80,24.1924,0.66226,0.28766,15.3315,21.52196,64.00442,8.4276,2.6341
gaussian,high,seasnake,80,24.5865,0.65967,0.23367,15.3928,14.16893,55.20879,25.5627,3.5445
gaussian,high,skate-jump,68,27.0734,0.72043,0.32852,14.8731,4.56536,60.31514,18.5524,3.2612
gaussian,high,slackline,60,29.1688,0.69895,0.40876,15.6406,7.47408,44.73449,17.085,5.3048
gaussian,high,subway,80,28.4658,0.77058,0.25577,15.7783,7.27314,44.75898,14.5279,3.9576
gaussian,high,tandem,72,27.5384,0.74948,0.31291,14.9171,21.33935,67.74696,19.1978,3.7143
gaussian,high,tennis-vest,75,28.5405,0.76926,0.28783,14.7382,12.2382,61.13284,20.4303,3.8195
gaussian,high,tractor,65,27.4778,0.7388,0.34126,15.0561,15.08032,59.38539,12.0156,3.5875
poisson_gaussian,realistic,aerobatics,71,33.7706,0.91205,0.1438,21.5106,11.89777,22.60003,23.3663,3.9632
poisson_gaussian,realistic,car-race,31,34.6964,0.93126,0.07016,23.6786,35.86198,41.59621,27.4755,3.5408
poisson_gaussian,realistic,carousel,69,29.4176,0.84957,0.1327,22.2273,32.75329,41.59568,12.9018,2.7341
poisson_gaussian,realistic,cats-car,67,31.4819,0.90303,0.08764,22.1292,41.83779,49.5167,14.3361,3.0914
poisson_gaussian,realistic,chamaleon,80,31.0377,0.9063,0.09077,21.2446,25.23921,36.59251,13.4229,3.1776
poisson_gaussian,realistic,deer,79,35.545,0.91418,0.18777,21.5018,4.86385,16.36425,18.0561,3.591
poisson_gaussian,realistic,giant-slalom,80,35.1543,0.91552,0.2185,20.3943,1.69553,16.07495,32.5176,4.0305
poisson_gaussian,realistic,girl-dog,80,30.912,0.84114,0.17525,21.8039,25.55922,35.02388,14.3132,2.7545
poisson_gaussian,realistic,golf,79,30.3817,0.84608,0.17124,22.172,20.87446,30.03349,8.7399,2.571
poisson_gaussian,realistic,guitar-violin,55,35.4231,0.93397,0.11714,23.3628,17.83712,24.46846,31.5971,4.735
poisson_gaussian,realistic,gym,60,33.6703,0.90869,0.16507,21.4927,17.97112,28.93299,23.297,3.5747
poisson_gaussian,realistic,helicopter,49,32.7864,0.86098,0.22674,19.7512,6.25834,22.98863,24.4969,4.1645
poisson_gaussian,realistic,horsejump-stick,58,31.3046,0.88462,0.11206,22.0329,37.05041,45.68484,23.3723,3.3704
poisson_gaussian,realistic,hoverboard,80,36.0601,0.9325,0.16144,21.6698,11.0998,21.88376,36.9617,5.3936
poisson_gaussian,realistic,lock,43,35.7698,0.92052,0.15548,23.9872,9.87513,15.72555,22.6538,4.8131
poisson_gaussian,realistic,man-bike,75,33.6363,0.929,0.15505,20.6306,5.20255,17.119,19.8262,5.1285
poisson_gaussian,realistic,monkeys-trees,80,26.9811,0.85798,0.15229,20.3747,14.05506,28.12202,3.2348,4.7478
poisson_gaussian,realistic,mtb-race,69,29.415,0.90639,0.07431,22.5912,43.5145,51.74635,6.1281,2.6763
poisson_gaussian,realistic,orchid,57,32.4452,0.90443,0.14331,20.493,14.69117,29.26843,18.9354,3.7972
poisson_gaussian,realistic,people-sunset,67,35.7671,0.92696,0.12883,22.9815,6.1442,14.49425,24.584,4.5024
poisson_gaussian,realistic,planes-crossing,31,33.9968,0.92579,0.12329,19.8569,13.10628,31.36442,25.0003,4.751
poisson_gaussian,realistic,rollercoaster,70,32.2439,0.93128,0.0715,20.5978,54.25493,69.26546,4.6099,3.5495
poisson_gaussian,realistic,salsa,80,28.4016,0.84995,0.11353,21.7839,23.6375,33.33909,-0.1817,2.6988
poisson_gaussian,realistic,seasnake,80,29.8475,0.86058,0.08207,22.1635,17.84228,26.8166,21.2803,3.2423
poisson_gaussian,realistic,skate-jump,68,32.3818,0.90833,0.09932,22.1764,3.92898,14.08453,14.4569,3.1387
poisson_gaussian,realistic,slackline,60,35.2231,0.90151,0.15035,24.8848,8.57203,13.39927,23.5633,3.1144
poisson_gaussian,realistic,subway,80,34.1702,0.94011,0.0843,24.0052,7.5546,13.18659,27.1931,4.1284
poisson_gaussian,realistic,tandem,72,31.6102,0.87353,0.15158,21.0204,23.29015,34.95766,16.2076,3.099
poisson_gaussian,realistic,tennis-vest,75,33.1877,0.89423,0.14135,21.52,13.55006,23.86529,31.1854,3.8433
poisson_gaussian,realistic,tractor,65,32.0706,0.89283,0.14029,22.2025,16.51457,25.10143,13.7532,2.8928
