model,params,params_plus_buffers,gflops_per_frame_std,gflops_per_frame_720p,gmacs_per_frame_720p,scaling_ratio_2x,net_ms_per_frame_std,net_peak_mem_gb_std,pipe_cpu_cache,pipe_s_per_frame,pipe_fps,pipe_s_per_clip,pipe_peak_mem_gb,pipe_vram_spill,pipe_gflops_per_frame
DashMamba,886840,886840,11.893260288,167.2489728,83.6244864,4.0,7.262459374032915,0.697394176,False,0.32003473000004307,3.124660876648811,25.602778400003444,2.134729728,False,429.447315456
RVRT,12786919,13065453,110.282388064,1550.84608215,775.423041075,4.0,67.00165000074776,1.849613312,True,2.7378682850001494,0.3652476656669937,219.02946280001197,2.676872192,False,2029.2233180544
BasicVSR++,44075631,44075637,353.776415328,4974.98084055,2487.490420275,4.0,49.89719687546312,0.61065216,False,1.1004846099996939,0.9086905813251474,88.03876879997551,3.546320896,False,8398.73054772
FastDVDnet,2479096,2483578,83.386957824,1172.6290944,586.3145472,4.0,15.05524999811314,0.201831424,False,0.26986816249991535,3.70551305769651,21.589452999993227,2.996188672,False,1172.6290944
